Component: indent_strength
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, 0.5224312565, 44.8099308, -72.73286325, -7.428000000000002
0.015, 0.7940048835, 44.64122969000001, -72.71083791333332, -9.193999999999999
0.02, 1.070778757, 44.47220466000001, -72.68156722333333, -10.999666666666666
0.03, 1.6448387095, 44.13319246, -72.60153511666667, -14.727333333333334
0.04, 2.2441629405000003, 43.79291348, -72.49176037333332, -18.62
0.05, 2.8648910770000002, 43.45138699, -72.35203408666666, -22.673333333333332
0.06, 3.5095602120000002, 43.10863226, -72.18092804333332, -26.901666666666664
0.07, 4.1760890645, 42.76466858, -71.97778921333332, -31.308666666666664
0.08, 4.881798703, 42.41951521, -71.74725770333333, -35.95333333333333
0.09000000000000001, 5.596154457000001, 42.07319143, -71.47966824999999, -40.748333333333335
0.1, 6.3370714745, 41.72571652, -71.17792197, -45.74333333333333
0.11, 7.096478661000001, 41.37710976, -70.84081073, -50.949
0.12000000000000001, 7.875176335000001, 41.02739041, -70.46766303, -56.37133333333334
0.13, 8.674624427000001, 40.67657775, -70.05757353000001, -62.017999999999994
0.13999999999999999, 9.4928306905, 40.32469106, -69.60954287333334, -67.89699999999999
0.15, 10.329108657, 39.97174961, -69.12253004, -74.018
0.16, 11.1807662325, 39.61777268, -68.59534416666668, -80.39333333333335
0.16999999999999998, 12.050013764500001, 39.26277955, -68.02704156666668, -87.03133333333334
0.18, 12.934758110500002, 38.90678948, -67.41660550333334, -93.944
0.19, 13.8338029055, 38.54982175, -66.76269938, -101.14466666666667
0.19999999999999998, 14.733712186999998, 38.19189565, -66.06534249333333, -108.676
0.21, 15.673714003499999, 37.83303043, -65.31958019666666, -116.455
0.22, 17.1850398285, 37.47324539, -64.53068520333333, -124.47166666666665
0.22999999999999998, 20.8488059825, 37.11255979, -63.70543418, -131.90033333333332
0.24, 22.737163787500002, 36.75099291, -62.848572276666665, -140.096
0.25, 23.5981255805, 36.38856402, -61.94462245666667, -149.09566666666666
0.26, 24.41802526, 36.02529241, -60.987977676666674, -158.5256666666667
0.27, 25.202579816, 35.66119733, -59.978809176666665, -168.28900000000002
0.28, 25.7430534105, 35.29629808, -58.92729025333333, -178.13633333333334
0.29000000000000004, 25.2135656015, 34.93061392, -57.84018151, -188.00833333333333
0.30000000000000004, 25.333899833000004, 34.56416413, -56.71578899666667, -198.75966666666665
0.31, 25.862816841, 34.19696799, -55.53609488666667, -210.19100000000003
0.32, 27.039027755999996, 33.82904477, -54.306305763333334, -221.31066666666666
0.33, 22.2286882555, 33.46041374, -53.073199499999994, -232.83166666666662
0.34, 21.750287708500004, 33.09109419, -51.80213105666667, -245.86200000000002
0.35000000000000003, 21.268968174000005, 32.72110537, -50.492526940000005, -259.11066666666665

